Model,Mean Accuracy,Std Accuracy
Decision Tree,0.8930834940755028,0.01641086155450788
Gradient Boosting,0.8920363736566547,0.017690223002922206
Random Forest,0.8731386056764949,0.016269822043531702
KNN,0.866883438963902,0.016027969634346887
AdaBoost,0.8364397905759162,0.02114457394507814
Logistic Regression,0.7725213557453844,0.021008513383337982
SVM (Linear),0.7683438963901901,0.023030731208925743
